,canonical_composer,canonical_title,split,year,midi_filename,audio_filename,duration,performer,nationality,performer_label,canonical_title_label
81,Franz Liszt,Hungarian Rhapsody,validation,2009,2009/MIDI-Unprocessed_12_R1_2009_03-05_ORIG_MID--AUDIO_12_R1_2009_12_R1_2009_05_WAV.midi,2009/MIDI-Unprocessed_12_R1_2009_03-05_ORIG_MID--AUDIO_12_R1_2009_12_R1_2009_05_WAV.wav,608.523697031,Rui Shi,China,142,188
82,Franz Schubert,"Sonata in C Minor, D. 958",train,2009,2009/MIDI-Unprocessed_12_R2_2009_01_ORIG_MID--AUDIO_12_R2_2009_12_R2_2009_01_WAV.midi,2009/MIDI-Unprocessed_12_R2_2009_01_ORIG_MID--AUDIO_12_R2_2009_12_R2_2009_01_WAV.wav,493.52114109400003,Rui Shi,China,142,689
83,Franz Schubert,"Sonata in C Minor, D. 959",train,2009,2009/MIDI-Unprocessed_12_R2_2009_01_ORIG_MID--AUDIO_12_R2_2009_12_R2_2009_02_WAV.midi,2009/MIDI-Unprocessed_12_R2_2009_01_ORIG_MID--AUDIO_12_R2_2009_12_R2_2009_02_WAV.wav,573.772129219,Rui Shi,China,142,691
84,Franz Schubert,"Sonata in C Minor, D. 960",train,2009,2009/MIDI-Unprocessed_12_R2_2009_01_ORIG_MID--AUDIO_12_R2_2009_12_R2_2009_03_WAV.midi,2009/MIDI-Unprocessed_12_R2_2009_01_ORIG_MID--AUDIO_12_R2_2009_12_R2_2009_03_WAV.wav,151.10027625,Rui Shi,China,142,692
85,Franz Schubert,"Sonata in C Minor, D. 961",train,2009,2009/MIDI-Unprocessed_12_R2_2009_01_ORIG_MID--AUDIO_12_R2_2009_12_R2_2009_04_WAV.midi,2009/MIDI-Unprocessed_12_R2_2009_01_ORIG_MID--AUDIO_12_R2_2009_12_R2_2009_04_WAV.wav,560.5763625,Rui Shi,China,142,693
86,Frédéric Chopin,Nocturne in Db,validation,2006,2006/MIDI-Unprocessed_19_R1_2006_01-07_ORIG_MID--AUDIO_19_R1_2006_06_Track06_wav.midi,2006/MIDI-Unprocessed_19_R1_2006_01-07_ORIG_MID--AUDIO_19_R1_2006_06_Track06_wav.wav,423.666777187,Rui Shi,Chinese,142,316
87,Frédéric Chopin,Nocturne in Db,validation,2006,2006/MIDI-Unprocessed_19_R1_2006_01-07_ORIG_MID--AUDIO_19_R1_2006_07_Track07_wav.midi,2006/MIDI-Unprocessed_19_R1_2006_01-07_ORIG_MID--AUDIO_19_R1_2006_07_Track07_wav.wav,355.499110313,Rui Shi,Chinese,142,316
88,George Frideric Handel,Suite No. 3 in D Minor,train,2009,2009/MIDI-Unprocessed_12_R1_2009_01-02_ORIG_MID--AUDIO_12_R1_2009_12_R1_2009_01_WAV.midi,2009/MIDI-Unprocessed_12_R1_2009_01-02_ORIG_MID--AUDIO_12_R1_2009_12_R1_2009_01_WAV.wav,856.080874687,Rui Shi,China,142,770
89,Johann Sebastian Bach,Prelude & Fugue,train,2006,2006/MIDI-Unprocessed_19_R1_2006_01-07_ORIG_MID--AUDIO_19_R1_2006_01_Track01_wav.midi,2006/MIDI-Unprocessed_19_R1_2006_01-07_ORIG_MID--AUDIO_19_R1_2006_01_Track01_wav.wav,290.666108906,Rui Shi,Chinese,142,350
90,Claude Debussy,"Prelude No. 24 ""Fireworks""",train,2008,2008/MIDI-Unprocessed_04_R2_2008_01-04_ORIG_MID--AUDIO_04_R2_2008_wav--1.midi,2008/MIDI-Unprocessed_04_R2_2008_01-04_ORIG_MID--AUDIO_04_R2_2008_wav--1.wav,318.511967813,Jean-Selim Abdelmoula,Swiss/French/Tunisian  ,84,353
91,Franz Liszt,Hungarian Rhapsody No. 9,test,2008,2008/MIDI-Unprocessed_04_R1_2008_01-04_ORIG_MID--AUDIO_04_R1_2008_wav--4.midi,2008/MIDI-Unprocessed_04_R1_2008_01-04_ORIG_MID--AUDIO_04_R1_2008_wav--4.wav,632.172177656,Jean-Selim Abdelmoula,Swiss/French/Tunisian  ,84,199
92,Franz Liszt,Rhapsodie Espagnole,train,2008,2008/MIDI-Unprocessed_04_R2_2008_01-04_ORIG_MID--AUDIO_04_R2_2008_wav--4.midi,2008/MIDI-Unprocessed_04_R2_2008_01-04_ORIG_MID--AUDIO_04_R2_2008_wav--4.wav,794.3007548439999,Jean-Selim Abdelmoula,Swiss/French/Tunisian  ,84,456
93,Franz Liszt,"Transcendental Etude No. 1 ""Prelude""",validation,2008,2008/MIDI-Unprocessed_04_R3_2008_01-07_ORIG_MID--AUDIO_04_R3_2008_wav--2.midi,2008/MIDI-Unprocessed_04_R3_2008_01-07_ORIG_MID--AUDIO_04_R3_2008_wav--2.wav,53.936911875,Jean-Selim Abdelmoula,Swiss/French/Tunisian,84,802
94,Franz Liszt,"Transcendental Etude No. 10 in F Minor ""Appassionata""",test,2008,2008/MIDI-Unprocessed_04_R3_2008_01-07_ORIG_MID--AUDIO_04_R3_2008_wav--6.midi,2008/MIDI-Unprocessed_04_R3_2008_01-07_ORIG_MID--AUDIO_04_R3_2008_wav--6.wav,305.81833734400004,Jean-Selim Abdelmoula,Swiss/French/Tunisian,84,805
95,Franz Liszt,"Transcendental Etude No. 11 ""Harmonies du Soir""",test,2008,2008/MIDI-Unprocessed_04_R3_2008_01-07_ORIG_MID--AUDIO_04_R3_2008_wav--7.midi,2008/MIDI-Unprocessed_04_R3_2008_01-07_ORIG_MID--AUDIO_04_R3_2008_wav--7.wav,607.479360469,Jean-Selim Abdelmoula,Swiss/French/Tunisian,84,807
96,Franz Liszt,"Transcendental Etude No. 3 ""Paysage""",test,2008,2008/MIDI-Unprocessed_04_R3_2008_01-07_ORIG_MID--AUDIO_04_R3_2008_wav--3.midi,2008/MIDI-Unprocessed_04_R3_2008_01-07_ORIG_MID--AUDIO_04_R3_2008_wav--3.wav,260.515230938,Jean-Selim Abdelmoula,Swiss/French/Tunisian,84,810
97,Franz Liszt,"Transcendental Etude No. 4 ""Mazeppa""",train,2008,2008/MIDI-Unprocessed_04_R3_2008_01-07_ORIG_MID--AUDIO_04_R3_2008_wav--4.midi,2008/MIDI-Unprocessed_04_R3_2008_01-07_ORIG_MID--AUDIO_04_R3_2008_wav--4.wav,494.70970828099996,Jean-Selim Abdelmoula,Swiss/French/Tunisian,84,811
98,Franz Liszt,"Transcendental Etude No. 5 ""Feux Follets""",train,2008,2008/MIDI-Unprocessed_04_R3_2008_01-07_ORIG_MID--AUDIO_04_R3_2008_wav--5.midi,2008/MIDI-Unprocessed_04_R3_2008_01-07_ORIG_MID--AUDIO_04_R3_2008_wav--5.wav,226.426055625,Jean-Selim Abdelmoula,Swiss/French/Tunisian,84,813
99,Franz Schubert,Impromptu Op. 90 No. 4 in A-flat Major,test,2008,2008/MIDI-Unprocessed_04_R2_2008_01-04_ORIG_MID--AUDIO_04_R2_2008_wav--3.midi,2008/MIDI-Unprocessed_04_R2_2008_01-04_ORIG_MID--AUDIO_04_R2_2008_wav--3.wav,400.711404844,Jean-Selim Abdelmoula,Swiss/French/Tunisian   ,84,237
100,Franz Schubert,"Impromptu Op. 90, No. 3, in G-flat Major, D899",train,2011,2011/MIDI-Unprocessed_12_R2_2011_MID--AUDIO_R2-D4_04_Track04_wav.midi,2011/MIDI-Unprocessed_12_R2_2011_MID--AUDIO_R2-D4_04_Track04_wav.wav,307.35679734400003,Weston Mizumoto,USA,180,238
101,Franz Schubert / Franz Liszt,"Standchen, S. 558, NO. 9, ""Horch, horch! Die Lerch""",train,2011,2011/MIDI-Unprocessed_12_R2_2011_MID--AUDIO_R2-D4_05_Track05_wav.midi,2011/MIDI-Unprocessed_12_R2_2011_MID--AUDIO_R2-D4_05_Track05_wav.wav,157.473133125,Weston Mizumoto,USA,180,768
102,Frédéric Chopin,"Ballade No. 4 in F Minor, Op. 52",train,2011,2011/MIDI-Unprocessed_12_R1_2011_MID--AUDIO_R1-D4_14_Track14_wav.midi,2011/MIDI-Unprocessed_12_R1_2011_MID--AUDIO_R1-D4_14_Track14_wav.wav,653.658534375,Weston Mizumoto,USA,180,46
103,Frédéric Chopin,Mazurka Op. 6 No. 2 in C-sharp Minor,validation,2011,2011/MIDI-Unprocessed_12_R3_2011_MID--AUDIO_R3-D4_02_Track02_wav.midi,2011/MIDI-Unprocessed_12_R3_2011_MID--AUDIO_R3-D4_02_Track02_wav.wav,137.62806750000001,Weston Mizumoto,USA,180,277
104,Johann Sebastian Bach,"Prelude and Fugue in C-Sharp Major, WTC I, BWV 848",train,2011,2011/MIDI-Unprocessed_12_R1_2011_MID--AUDIO_R1-D4_15_Track15_wav.midi,2011/MIDI-Unprocessed_12_R1_2011_MID--AUDIO_R1-D4_15_Track15_wav.wav,202.95919875,Weston Mizumoto,USA,180,387
105,Joseph Haydn,"Sonata in E-flat Major, Hob. XVI:52, First Movement",train,2011,2011/MIDI-Unprocessed_12_R1_2011_MID--AUDIO_R1-D4_13_Track13_wav.midi,2011/MIDI-Unprocessed_12_R1_2011_MID--AUDIO_R1-D4_13_Track13_wav.wav,330.695449219,Weston Mizumoto,USA,180,735
106,Ludwig van Beethoven,"Sonata No. 23 in F Minor, Op. 57, First Movement",train,2011,2011/MIDI-Unprocessed_12_R2_2011_MID--AUDIO_R2-D4_03_Track03_wav.midi,2011/MIDI-Unprocessed_12_R2_2011_MID--AUDIO_R2-D4_03_Track03_wav.wav,523.841623594,Weston Mizumoto,USA,180,555
107,Ludwig van Beethoven,"Thirty-Two Variaions in C Minor, WoO80",train,2011,2011/MIDI-Unprocessed_12_R3_2011_MID--AUDIO_R3-D4_03_Track03_wav.midi,2011/MIDI-Unprocessed_12_R3_2011_MID--AUDIO_R3-D4_03_Track03_wav.wav,628.812138281,Weston Mizumoto,USA,180,787
108,Sergei Rachmaninoff,Elegie in E-Flat Minor Op. 3,validation,2011,2011/MIDI-Unprocessed_12_R2_2011_MID--AUDIO_R2-D4_02_Track02_wav.midi,2011/MIDI-Unprocessed_12_R2_2011_MID--AUDIO_R2-D4_02_Track02_wav.wav,376.323074531,Weston Mizumoto,USA,180,90
109,Sergei Rachmaninoff,Sonata No. 2 in B-Flat Minor Op. 36 (1913),train,2011,2011/MIDI-Unprocessed_12_R3_2011_MID--AUDIO_R3-D4_04_Track04_wav.midi,2011/MIDI-Unprocessed_12_R3_2011_MID--AUDIO_R3-D4_04_Track04_wav.wav,582.148189219,Weston Mizumoto,USA,180,533
110,Claude Debussy,"""Feux d'artifice"" from Book II",train,2008,2008/MIDI-Unprocessed_10_R3_2008_01-05_ORIG_MID--AUDIO_10_R3_2008_wav--4.midi,2008/MIDI-Unprocessed_10_R3_2008_01-05_ORIG_MID--AUDIO_10_R3_2008_wav--4.wav,242.752161094,Vladimir Levitsky,Russian ,175,2
111,Claude Debussy,"""Ondine"" from Book II",train,2008,2008/MIDI-Unprocessed_10_R3_2008_01-05_ORIG_MID--AUDIO_10_R3_2008_wav--3.midi,2008/MIDI-Unprocessed_10_R3_2008_01-05_ORIG_MID--AUDIO_10_R3_2008_wav--3.wav,193.30108875,Vladimir Levitsky,Russian ,175,7
112,Claude Debussy,Les Collines d'Anacapri from Book I,train,2008,2008/MIDI-Unprocessed_10_R3_2008_01-05_ORIG_MID--AUDIO_10_R3_2008_wav--2.midi,2008/MIDI-Unprocessed_10_R3_2008_01-05_ORIG_MID--AUDIO_10_R3_2008_wav--2.wav,176.46349875,Vladimir Levitsky,Russian ,175,267
113,Domenico Scarlatti,"Sonata in D Major, K. 96 L. 465",test,2008,2008/MIDI-Unprocessed_10_R2_2008_01-05_ORIG_MID--AUDIO_10_R2_2008_wav--2.midi,2008/MIDI-Unprocessed_10_R2_2008_01-05_ORIG_MID--AUDIO_10_R2_2008_wav--2.wav,138.765886875,Vladimir Levitsky,Russian ,175,718
114,Domenico Scarlatti,"Sonata in D Minor, K. 9 L. 413",test,2008,2008/MIDI-Unprocessed_10_R2_2008_01-05_ORIG_MID--AUDIO_10_R2_2008_wav--1.midi,2008/MIDI-Unprocessed_10_R2_2008_01-05_ORIG_MID--AUDIO_10_R2_2008_wav--1.wav,95.9707907813,Vladimir Levitsky,Russian ,175,725
115,Felix Mendelssohn,"Variations Serieuses, Op. 54",train,2008,2008/MIDI-Unprocessed_10_R3_2008_01-05_ORIG_MID--AUDIO_10_R3_2008_wav--1.midi,2008/MIDI-Unprocessed_10_R3_2008_01-05_ORIG_MID--AUDIO_10_R3_2008_wav--1.wav,649.901860781,Vladimir Levitsky,Russian,175,833
116,Franz Liszt,"""La Campanella""",train,2008,2008/MIDI-Unprocessed_10_R1_2008_01-04_ORIG_MID--AUDIO_10_R1_2008_wav--4.midi,2008/MIDI-Unprocessed_10_R1_2008_01-04_ORIG_MID--AUDIO_10_R1_2008_wav--4.wav,265.471155469,Vladimir Levitsky,Russian,175,5
117,Franz Liszt,Tarantella from Annees de Pelerinage 2eme Annee,train,2008,2008/MIDI-Unprocessed_10_R2_2008_01-05_ORIG_MID--AUDIO_10_R2_2008_wav--3.midi,2008/MIDI-Unprocessed_10_R2_2008_01-05_ORIG_MID--AUDIO_10_R2_2008_wav--3.wav,532.707800625,Vladimir Levitsky,Russian ,175,781
118,Franz Schubert,Impromptu Op. 90 No. 4 in A-flat Major,test,2008,2008/MIDI-Unprocessed_10_R2_2008_01-05_ORIG_MID--AUDIO_10_R2_2008_wav--4.midi,2008/MIDI-Unprocessed_10_R2_2008_01-05_ORIG_MID--AUDIO_10_R2_2008_wav--4.wav,342.504999375,Vladimir Levitsky,Russian ,175,237
119,Frédéric Chopin,"Andante Spianato and Grand Polonaise Brilliante, Op. 22",train,2008,2008/MIDI-Unprocessed_10_R3_2008_01-05_ORIG_MID--AUDIO_10_R3_2008_wav--5.midi,2008/MIDI-Unprocessed_10_R3_2008_01-05_ORIG_MID--AUDIO_10_R3_2008_wav--5.wav,809.8042115630002,Vladimir Levitsky,Russian ,175,23
120,Franz Liszt,Spanish Rhapsody,train,2004,2004/MIDI-Unprocessed_XP_06_R1_2004_02-03_ORIG_MID--AUDIO_06_R1_2004_05_Track05_wav.midi,2004/MIDI-Unprocessed_XP_06_R1_2004_02-03_ORIG_MID--AUDIO_06_R1_2004_05_Track05_wav.wav,750.325777985,Denis Evstioukhine,Russian ,42,766
121,Franz Schubert,"Sonata in C Minor, D958",train,2004,2004/MIDI-Unprocessed_XP_06_R2_2004_01_ORIG_MID--AUDIO_06_R2_2004_01_Track01_wav.midi,2004/MIDI-Unprocessed_XP_06_R2_2004_01_ORIG_MID--AUDIO_06_R2_2004_01_Track01_wav.wav,692.722315437,Denis Evstioukhine,Russian ,42,694
122,Franz Schubert,"Sonata in C Minor, D958",train,2004,2004/MIDI-Unprocessed_XP_06_R2_2004_01_ORIG_MID--AUDIO_06_R2_2004_02_Track02_wav.midi,2004/MIDI-Unprocessed_XP_06_R2_2004_01_ORIG_MID--AUDIO_06_R2_2004_02_Track02_wav.wav,525.664047577,Denis Evstioukhine,Russian ,42,694
123,Franz Schubert,"Sonata in C Minor, D958",train,2004,2004/MIDI-Unprocessed_XP_06_R2_2004_01_ORIG_MID--AUDIO_06_R2_2004_03_Track03_wav.midi,2004/MIDI-Unprocessed_XP_06_R2_2004_01_ORIG_MID--AUDIO_06_R2_2004_03_Track03_wav.wav,745.937970417,Denis Evstioukhine,Russian ,42,694
124,Franz Schubert,"Sonata in C Minor, D958",train,2004,2004/MIDI-Unprocessed_XP_19_R2_2004_01_ORIG_MID--AUDIO_19_R2_2004_01_Track01_wav.midi,2004/MIDI-Unprocessed_XP_19_R2_2004_01_ORIG_MID--AUDIO_19_R2_2004_01_Track01_wav.wav,452.828792356,Denis Evstioukhine,Russian ,42,694
125,Franz Schubert,"Sonata in C Minor, D958",train,2004,2004/MIDI-Unprocessed_XP_19_R2_2004_01_ORIG_MID--AUDIO_19_R2_2004_02_Track02_wav.midi,2004/MIDI-Unprocessed_XP_19_R2_2004_01_ORIG_MID--AUDIO_19_R2_2004_02_Track02_wav.wav,465.319140125,Denis Evstioukhine,Russian ,42,694
126,Franz Schubert,"Sonata in C Minor, D958",train,2004,2004/MIDI-Unprocessed_XP_19_R2_2004_01_ORIG_MID--AUDIO_19_R2_2004_03_Track03_wav.midi,2004/MIDI-Unprocessed_XP_19_R2_2004_01_ORIG_MID--AUDIO_19_R2_2004_03_Track03_wav.wav,705.474414571,Denis Evstioukhine,Russian ,42,694
127,Franz Schubert,"Sonata in C Minor, D958",train,2004,2004/MIDI-Unprocessed_XP_22_R2_2004_01_ORIG_MID--AUDIO_22_R2_2004_01_Track01_wav.midi,2004/MIDI-Unprocessed_XP_22_R2_2004_01_ORIG_MID--AUDIO_22_R2_2004_01_Track01_wav.wav,463.915298113,Denis Evstioukhine,Russian ,42,694
128,Franz Schubert,"Sonata in C Minor, D958",train,2004,2004/MIDI-Unprocessed_XP_22_R2_2004_01_ORIG_MID--AUDIO_22_R2_2004_02_Track02_wav.midi,2004/MIDI-Unprocessed_XP_22_R2_2004_01_ORIG_MID--AUDIO_22_R2_2004_02_Track02_wav.wav,466.286017615,Denis Evstioukhine,Russian ,42,694
129,Franz Schubert,"Sonata in C Minor, D958",train,2004,2004/MIDI-Unprocessed_XP_22_R2_2004_01_ORIG_MID--AUDIO_22_R2_2004_03_Track03_wav.midi,2004/MIDI-Unprocessed_XP_22_R2_2004_01_ORIG_MID--AUDIO_22_R2_2004_03_Track03_wav.wav,152.737797285,Denis Evstioukhine,Russian ,42,694
130,Carl Maria von Weber,"Sonata No. 1, 2nd, 3rd and 4th movements",train,2008,2008/MIDI-Unprocessed_02_R3_2008_01-03_ORIG_MID--AUDIO_02_R3_2008_wav--3.midi,2008/MIDI-Unprocessed_02_R3_2008_01-03_ORIG_MID--AUDIO_02_R3_2008_wav--3.wav,939.13367625,Anna Denisova,Russian,16,513
131,Felix Mendelssohn,Etude in A Minor,validation,2008,2008/MIDI-Unprocessed_02_R1_2008_01-05_ORIG_MID--AUDIO_02_R1_2008_wav--3.midi,2008/MIDI-Unprocessed_02_R1_2008_01-05_ORIG_MID--AUDIO_02_R1_2008_wav--3.wav,76.0442615625,Anna Denisova,Russian,16,135
132,Franz Liszt,Polonaise in E Major,train,2008,2008/MIDI-Unprocessed_02_R1_2008_01-05_ORIG_MID--AUDIO_02_R1_2008_wav--4.midi,2008/MIDI-Unprocessed_02_R1_2008_01-05_ORIG_MID--AUDIO_02_R1_2008_wav--4.wav,468.594616875,Anna Denisova,Russian,16,344
133,Franz Schubert,Impromptu Op. 90 No. 2,train,2008,2008/MIDI-Unprocessed_02_R2_2008_01-05_ORIG_MID--AUDIO_02_R2_2008_wav--1.midi,2008/MIDI-Unprocessed_02_R2_2008_01-05_ORIG_MID--AUDIO_02_R2_2008_wav--1.wav,223.212917812,Anna Denisova,Russian,16,227
134,Frédéric Chopin,Ballade No. 2 in F Major,train,2008,2008/MIDI-Unprocessed_02_R3_2008_01-03_ORIG_MID--AUDIO_02_R3_2008_wav--2.midi,2008/MIDI-Unprocessed_02_R3_2008_01-03_ORIG_MID--AUDIO_02_R3_2008_wav--2.wav,340.642020469,Anna Denisova,Russian,16,43
135,Johann Sebastian Bach,"Prelude and Fugue in C-sharp Major, WTC I",train,2008,2008/MIDI-Unprocessed_02_R1_2008_01-05_ORIG_MID--AUDIO_02_R1_2008_wav--1.midi,2008/MIDI-Unprocessed_02_R1_2008_01-05_ORIG_MID--AUDIO_02_R1_2008_wav--1.wav,180.01985203099997,Anna Denisova,Russian,16,390
136,Ludwig van Beethoven,"Thirty-Two Variations in C Minor, WoO 80",train,2008,2008/MIDI-Unprocessed_02_R3_2008_01-03_ORIG_MID--AUDIO_02_R3_2008_wav--1.midi,2008/MIDI-Unprocessed_02_R3_2008_01-03_ORIG_MID--AUDIO_02_R3_2008_wav--1.wav,544.017885469,Anna Denisova,Russian,16,789
137,Mikhail Glinka / Mily Balakirev,Lark,train,2008,2008/MIDI-Unprocessed_02_R1_2008_01-05_ORIG_MID--AUDIO_02_R1_2008_wav--5.midi,2008/MIDI-Unprocessed_02_R1_2008_01-05_ORIG_MID--AUDIO_02_R1_2008_wav--5.wav,326.59155375,Anna Denisova,Russian,16,266
138,Pyotr Ilyich Tchaikovsky / Mikhail Pletnev,"Andante Maestoso from ""Nutcracker Suite""",train,2008,2008/MIDI-Unprocessed_02_R2_2008_01-05_ORIG_MID--AUDIO_02_R2_2008_wav--5.midi,2008/MIDI-Unprocessed_02_R2_2008_01-05_ORIG_MID--AUDIO_02_R2_2008_wav--5.wav,272.686693125,Anna Denisova,Russian,16,22
139,Pyotr Ilyich Tchaikovsky / Mikhail Pletnev,"Intermezzo from ""Nutcracker Suite""",train,2008,2008/MIDI-Unprocessed_02_R2_2008_01-05_ORIG_MID--AUDIO_02_R2_2008_wav--3.midi,2008/MIDI-Unprocessed_02_R2_2008_01-05_ORIG_MID--AUDIO_02_R2_2008_wav--3.wav,241.51284609400003,Anna Denisova,Russian,16,247
140,Alexander Scriabin,"Sonata No. 3 in F-sharp Minor, Op. 23",train,2018,2018/MIDI-Unprocessed_Recital5-7_MID--AUDIO_07_R1_2018_wav--2.midi,2018/MIDI-Unprocessed_Recital5-7_MID--AUDIO_07_R1_2018_wav--2.wav,1120.09102734,Timur Mustakimov,Russia,165,578
141,Claude Debussy,L'isle joyeuse,train,2014,2014/MIDI-UNPROCESSED_06-08_R1_2014_MID--AUDIO_07_R1_2014_wav--6.midi,2014/MIDI-UNPROCESSED_06-08_R1_2014_MID--AUDIO_07_R1_2014_wav--6.wav,363.915234375,Timur Mustakimov,Russia,165,264
142,Claude Debussy,"Preludes Book II: “Feux d'artifice,” L 123, No. 12",train,2014,2014/MIDI-UNPROCESSED_06-08_R1_2014_MID--AUDIO_07_R1_2014_wav--5.midi,2014/MIDI-UNPROCESSED_06-08_R1_2014_MID--AUDIO_07_R1_2014_wav--5.wav,257.919079688,Timur Mustakimov,Russia,165,442
143,Domenico Scarlatti,"Sonata in B Minor, K. 87",train,2018,2018/MIDI-Unprocessed_Recital5-7_MID--AUDIO_07_R1_2018_wav--3.midi,2018/MIDI-Unprocessed_Recital5-7_MID--AUDIO_07_R1_2018_wav--3.wav,294.075560625,Timur Mustakimov,Russia,165,644
144,Franz Schubert,"Sonata in A Major, D959",train,2018,2018/MIDI-Unprocessed_Schubert1-3_MID--AUDIO_07_R2_2018_wav.midi,2018/MIDI-Unprocessed_Schubert1-3_MID--AUDIO_07_R2_2018_wav.wav,2244.51297984,Timur Mustakimov,Russia,165,625
145,Franz Schubert,"Sonata in C Minor, D. 958 (Complete)",train,2014,2014/MIDI-UNPROCESSED_04-07-08-10-12-15-17_R2_2014_MID--AUDIO_07_R2_2014_wav.midi,2014/MIDI-UNPROCESSED_04-07-08-10-12-15-17_R2_2014_MID--AUDIO_07_R2_2014_wav.wav,1790.89831594,Timur Mustakimov,Russia,165,690
146,Frédéric Chopin,"Scherzo No. 2 in B-Flat Minor, Op.31",train,2014,2014/MIDI-UNPROCESSED_06-08_R1_2014_MID--AUDIO_07_R1_2014_wav--3.midi,2014/MIDI-UNPROCESSED_06-08_R1_2014_MID--AUDIO_07_R1_2014_wav--3.wav,578.37549,Timur Mustakimov,Russia,165,478
147,Frédéric Chopin,"Scherzo No. 4 in E Major, Op. 54",train,2014,2014/MIDI-UNPROCESSED_06-08_R1_2014_MID--AUDIO_07_R1_2014_wav--4.midi,2014/MIDI-UNPROCESSED_06-08_R1_2014_MID--AUDIO_07_R1_2014_wav--4.wav,624.909898594,Timur Mustakimov,Russia,165,485
148,Johann Sebastian Bach,"Partita in C Minor, BWV 826",train,2014,2014/MIDI-UNPROCESSED_06-08_R1_2014_MID--AUDIO_07_R1_2014_wav--2.midi,2014/MIDI-UNPROCESSED_06-08_R1_2014_MID--AUDIO_07_R1_2014_wav--2.wav,1133.65805437,Timur Mustakimov,Russia,165,332
149,Johann Sebastian Bach / Ferruccio Busoni,Chaconne in D Minor,train,2014,2014/MIDI-UNPROCESSED_06-08_R1_2014_MID--AUDIO_07_R1_2014_wav--7.midi,2014/MIDI-UNPROCESSED_06-08_R1_2014_MID--AUDIO_07_R1_2014_wav--7.wav,801.396100313,Timur Mustakimov,Russia,165,59
150,Alexander Scriabin,"Sonata No. 5, Op. 53",train,2008,2008/MIDI-Unprocessed_07_R1_2008_01-04_ORIG_MID--AUDIO_07_R1_2008_wav--4.midi,2008/MIDI-Unprocessed_07_R1_2008_01-04_ORIG_MID--AUDIO_07_R1_2008_wav--4.wav,601.648703906,Julia Kociuban,Polish ,94,596
151,Claude Debussy,"""Les collines d'Anacapri"" from Preludes, Book I",train,2008,2008/MIDI-Unprocessed_07_R3_2008_01-05_ORIG_MID--AUDIO_07_R3_2008_wav--3.midi,2008/MIDI-Unprocessed_07_R3_2008_01-05_ORIG_MID--AUDIO_07_R3_2008_wav--3.wav,166.49556,Julia Kociuban,Polish,94,6
152,Claude Debussy,"""Voiles"" from Preludes, Book I",train,2008,2008/MIDI-Unprocessed_07_R3_2008_01-05_ORIG_MID--AUDIO_07_R3_2008_wav--4.midi,2008/MIDI-Unprocessed_07_R3_2008_01-05_ORIG_MID--AUDIO_07_R3_2008_wav--4.wav,212.29546078099997,Julia Kociuban,Polish,94,9
153,Felix Mendelssohn,"Variations serieuses, Op. 54",train,2008,2008/MIDI-Unprocessed_07_R3_2008_01-05_ORIG_MID--AUDIO_07_R3_2008_wav--2.midi,2008/MIDI-Unprocessed_07_R3_2008_01-05_ORIG_MID--AUDIO_07_R3_2008_wav--2.wav,690.980879531,Julia Kociuban,Polish ,94,842
154,Franz Liszt,"Transcendental Etude No. 12 ""Chasse-neige""",validation,2008,2008/MIDI-Unprocessed_07_R1_2008_01-04_ORIG_MID--AUDIO_07_R1_2008_wav--3.midi,2008/MIDI-Unprocessed_07_R1_2008_01-04_ORIG_MID--AUDIO_07_R1_2008_wav--3.wav,257.133824063,Julia Kociuban,Polish ,94,808
155,Franz Schubert,Impromptu Op. 90 No. 3 in G-flat Major,train,2008,2008/MIDI-Unprocessed_07_R2_2008_01-05_ORIG_MID--AUDIO_07_R2_2008_wav--1.midi,2008/MIDI-Unprocessed_07_R2_2008_01-05_ORIG_MID--AUDIO_07_R2_2008_wav--1.wav,375.151868438,Julia Kociuban,Polish ,94,233
156,Frédéric Chopin,"Ballade No. 3 in A-flat Major, Op. 47",train,2008,2008/MIDI-Unprocessed_07_R2_2008_01-05_ORIG_MID--AUDIO_07_R2_2008_wav--4.midi,2008/MIDI-Unprocessed_07_R2_2008_01-05_ORIG_MID--AUDIO_07_R2_2008_wav--4.wav,418.390340156,Julia Kociuban,Polish ,94,45
157,Frédéric Chopin,"Mazurka in D Major, Op. 33, No. 2",validation,2008,2008/MIDI-Unprocessed_07_R2_2008_01-05_ORIG_MID--AUDIO_07_R2_2008_wav--3.midi,2008/MIDI-Unprocessed_07_R2_2008_01-05_ORIG_MID--AUDIO_07_R2_2008_wav--3.wav,124.491061406,Julia Kociuban,Polish ,94,279
158,Frédéric Chopin,"Mazurka in G-sharp Minor, Op. 33, No. 1",validation,2008,2008/MIDI-Unprocessed_07_R2_2008_01-05_ORIG_MID--AUDIO_07_R2_2008_wav--2.midi,2008/MIDI-Unprocessed_07_R2_2008_01-05_ORIG_MID--AUDIO_07_R2_2008_wav--2.wav,94.3936021875,Julia Kociuban,Polish ,94,281
159,Johann Sebastian Bach,"Prelude and Fugue in G Major, WTC I",train,2008,2008/MIDI-Unprocessed_07_R1_2008_01-04_ORIG_MID--AUDIO_07_R1_2008_wav--1.midi,2008/MIDI-Unprocessed_07_R1_2008_01-04_ORIG_MID--AUDIO_07_R1_2008_wav--1.wav,218.721736406,Julia Kociuban,Polish,94,422
